requirement_id,requirement_id_norm,correct_code_file,correct_code_file_norm,found,rank_found,top_prediction,top_score,retrieved_in_top_k
EA1.txt,ea1,AccessManager.java,accessmanager,True,3.0,access,0.5108084860064424,True
EA1.txt,ea1,Access.java,access,True,1.0,access,0.5108084860064424,True
EA1.txt,ea1,AdminManager.java,adminmanager,False,,access,0.5108084860064424,False
EA1.txt,ea1,Administrator.java,administrator,True,2.0,access,0.5108084860064424,True
EA1.txt,ea1,DbAccess.java,dbaccess,False,,access,0.5108084860064424,False
EA1.txt,ea1,DbAdministrator.java,dbadministrator,True,9.0,access,0.5108084860064424,True
EA1.txt,ea1,DbConnection.java,dbconnection,True,10.0,access,0.5108084860064424,True
EA1.txt,ea1,DbException.java,dbexception,False,,access,0.5108084860064424,False
EA1.txt,ea1,CancelServlet.java,cancelservlet,False,,access,0.5108084860064424,False
EA1.txt,ea1,LoginServlet.java,loginservlet,True,4.0,access,0.5108084860064424,True
EA1.txt,ea1,ShowAccessServlet.java,showaccessservlet,False,,access,0.5108084860064424,False
EA2.txt,ea2,AccessManager.java,accessmanager,True,2.0,access,0.5301295138946607,True
EA2.txt,ea2,Access.java,access,True,1.0,access,0.5301295138946607,True
EA2.txt,ea2,AdminManager.java,adminmanager,False,,access,0.5301295138946607,False
EA2.txt,ea2,IdentityCard.java,identitycard,False,,access,0.5301295138946607,False
EA2.txt,ea2,IdentityCardManager.java,identitycardmanager,False,,access,0.5301295138946607,False
EA2.txt,ea2,Citizen.java,citizen,False,,access,0.5301295138946607,False
EA2.txt,ea2,CitizenManager.java,citizenmanager,False,,access,0.5301295138946607,False
EA2.txt,ea2,DbAccess.java,dbaccess,False,,access,0.5301295138946607,False
EA2.txt,ea2,DbIdentityCard.java,dbidentitycard,False,,access,0.5301295138946607,False
EA2.txt,ea2,DbCitizen.java,dbcitizen,False,,access,0.5301295138946607,False
EA2.txt,ea2,DbMunicipality.java,dbmunicipality,False,,access,0.5301295138946607,False
EA2.txt,ea2,DbConnection.java,dbconnection,True,7.0,access,0.5301295138946607,True
EA2.txt,ea2,CancelServlet.java,cancelservlet,False,,access,0.5301295138946607,False
EA2.txt,ea2,LoginServlet.java,loginservlet,True,5.0,access,0.5301295138946607,True
