requirement_id,total_links,found_links,top1_hits,top5_hits,top10_hits,best_rank,avg_rank_found,found_rate,difficulty_label
EA1.txt,11,7,1,4,7,1.0,4.714285714285714,0.6364,mixed
EA10.txt,10,2,1,1,2,1.0,4.0,0.2,mixed
EA11.txt,17,3,0,1,3,3.0,6.666666666666667,0.1765,mixed
EA12.txt,10,4,0,1,4,3.0,7.25,0.4,mixed
EA13.txt,11,3,0,2,3,3.0,5.666666666666667,0.2727,mixed
EA138.txt,55,10,1,5,10,1.0,5.5,0.1818,mixed
EA14.txt,11,3,0,1,3,2.0,6.333333333333333,0.2727,mixed
EA15.txt,11,1,0,0,1,9.0,9.0,0.0909,mixed
EA16.txt,12,7,0,4,7,2.0,5.142857142857143,0.5833,mixed
EA17.txt,12,7,1,4,7,1.0,5.714285714285714,0.5833,mixed
EA18.txt,11,3,1,3,3,1.0,2.0,0.2727,mixed
EA19.txt,14,7,1,4,7,1.0,5.0,0.5,mixed
EA2.txt,15,4,1,4,4,1.0,3.0,0.2667,mixed
EA20.txt,9,4,1,2,4,1.0,4.75,0.4444,mixed
EA21.txt,17,4,0,1,4,5.0,6.5,0.2353,mixed
EA22.txt,16,8,1,4,8,1.0,5.25,0.5,mixed
EA23.txt,6,1,0,1,1,2.0,2.0,0.1667,mixed
EA24.txt,27,2,0,1,2,2.0,5.5,0.0741,mixed
EA25.txt,27,10,1,5,10,1.0,5.5,0.3704,mixed
EA26.txt,22,8,0,4,8,2.0,5.75,0.3636,mixed
EA27.txt,13,2,0,1,2,5.0,5.5,0.1538,mixed
EA28.txt,13,5,0,3,5,2.0,4.8,0.3846,mixed
EA29.txt,13,4,1,2,4,1.0,5.75,0.3077,mixed
EA3.txt,10,6,1,4,6,1.0,4.5,0.6,mixed
EA30.txt,15,6,0,2,6,2.0,6.833333333333333,0.4,mixed
EA31.txt,16,5,1,3,5,1.0,5.0,0.3125,mixed
EA32.txt,16,4,0,1,4,3.0,6.75,0.25,mixed
EA33.txt,3,1,0,0,1,10.0,10.0,0.3333,mixed
EA34.txt,3,0,0,0,0,,,0.0,hard
EA36.txt,13,6,1,3,6,1.0,5.666666666666667,0.4615,mixed
EA37.txt,15,6,0,2,6,2.0,6.0,0.4,mixed
EA38.txt,15,6,0,2,6,2.0,6.0,0.4,mixed
EA4.txt,19,4,1,2,4,1.0,4.25,0.2105,mixed
EA41.txt,13,5,1,2,5,1.0,6.0,0.3846,mixed
EA5.txt,11,1,0,1,1,3.0,3.0,0.0909,mixed
EA6.txt,18,7,1,5,7,1.0,4.0,0.3889,mixed
EA7.txt,11,2,0,1,2,3.0,4.5,0.1818,mixed
EA8.txt,11,4,1,3,4,1.0,4.75,0.3636,mixed
EA9.txt,15,3,1,3,3,1.0,2.6666666666666665,0.2,mixed
