requirement_id,rank,code_file,score
smos1,1,servletinsertaddress,0.5060316324234009
smos1,2,servletshowuserdetails,0.44370588660240173
smos1,3,servletdeletenote,0.41745418310165405
smos1,4,servletinsertnewnote,0.4114900231361389
smos1,5,servletlogout,0.4062580466270447
smos1,6,servletloadreport,0.384402334690094
smos1,7,servletupdateteaching,0.37680113315582275
smos1,8,servletshowjustifylist,0.3728736639022827
smos1,9,servletremovestudentclassroom,0.36742523312568665
smos1,10,managerclassroom,0.3608909547328949
smos10,1,servletshowuserdetails,0.47066372632980347
smos10,2,managerregister,0.4604356288909912
smos10,3,servletdeletenote,0.46038174629211426
smos10,4,role,0.4567558169364929
smos10,5,servletremovestudentclassroom,0.4536871910095215
smos10,6,servletaddremoveteachingsasaddress,0.42040759325027466
smos10,7,servletupdateteaching,0.4170522093772888
smos10,8,servletloadreport,0.3561200797557831
smos10,9,servletshowteacherteachingformbyclass,0.3503221273422241
smos10,10,servletshowjustifylist,0.35020509362220764
smos11,1,servletaddremoveteachingsasaddress,0.6574768424034119
smos11,2,servletdeletenote,0.6231287121772766
smos11,3,role,0.5742326378822327
smos11,4,servletshowteacherteachingformbyclass,0.5589277744293213
smos11,5,servletremoveteachingasteacher,0.5362157225608826
smos11,6,manageruser,0.5266607999801636
smos11,7,servletremovestudentclassroom,0.5208814144134521
smos11,8,servletshowuserteachingform,0.4632085859775543
smos11,9,servletdeleteclassroom,0.4211289882659912
smos11,10,note,0.4199414849281311
smos12,1,servletdeletenote,0.5615794658660889
smos12,2,servletaddremoveteachingsasaddress,0.5558913946151733
smos12,3,role,0.5272096395492554
smos12,4,manageruser,0.5218033194541931
smos12,5,servletremovestudentclassroom,0.515903115272522
smos12,6,servletremoveteachingasteacher,0.5156433582305908
smos12,7,servletdeleteclassroom,0.45225539803504944
smos12,8,servletshowteacherteachingformbyclass,0.4344404935836792
smos12,9,managerregister,0.41497236490249634
smos12,10,managerclassroom,0.4145077168941498
smos13,1,servletaddremoveteachingsasaddress,0.5585100650787354
smos13,2,servletdeletenote,0.5199692249298096
smos13,3,servletremovestudentclassroom,0.513334333896637
smos13,4,role,0.4971178472042084
smos13,5,servletupdateteaching,0.4856170117855072
smos13,6,servletshowuserteachingform,0.45747441053390503
smos13,7,manageruser,0.4569796919822693
smos13,8,note,0.43966880440711975
