requirement_id,rank,code_file,score
uc1,1,iculturalheritageagencymanager,0.1820541903141997
uc1,2,refreshmentpointagencymanager,0.17460602856338842
uc1,3,dbculturalheritage,0.16962061321718375
uc1,4,advancedsearch,0.16054414589685695
uc1,5,culturalheritageagencymanager,0.1490715260937794
uc1,6,idbculturalheritage,0.14438555216441973
uc1,7,iadvertisementmanager,0.13595717996808854
uc1,8,controlserverlauncher,0.12339533345083616
uc1,9,itagagencyoperatormanager,0.12218058934339475
uc1,10,isearch,0.12055112662847255
uc10,1,advancedsearch,0.1555597825560612
uc10,2,itagagencyoperatormanager,0.14678046381306473
uc10,3,dbculturalheritage,0.14000581129789244
uc10,4,isearch,0.13011382202285807
uc10,5,dbrefreshmentpoint,0.11932209469290297
uc10,6,tourist,0.11424188530573418
uc10,7,dbrefreshmentpointoperator,0.11356654349332283
uc10,8,beantag,0.11276658292300216
uc10,9,iauthentication,0.11170719051976401
uc10,10,controldata,0.10847891802677112
uc11,1,iadvertisementrefreshmentpointmanager,0.16015030794624077
uc11,2,advertisementrefreshmentpointmanager,0.14851741935724522
uc11,3,dbconvention,0.13429129416429567
uc11,4,idbconvention,0.13048525943985495
uc11,5,beantag,0.11767375502262536
uc11,6,refreshmentpointagencymanager,0.11103771107679365
uc11,7,beanoperatoragency,0.10340207293087035
uc11,8,point3drenderer,0.1002503605799094
uc11,9,averageratingrenderer,0.08993808581345022
uc11,10,irefreshmentpointcommonmanager,0.08970623846967707
uc12,1,itagagencyoperatormanager,0.1338469527091964
uc12,2,touristcard,0.12161133577941638
uc12,3,tourist,0.11442361824548264
uc12,4,itouristagencymanager,0.10760799416248991
uc12,5,iauthentication,0.10659557589512589
uc12,6,search,0.10612138896051508
uc12,7,beantag,0.102830193471083
uc12,8,dblocationstatistic,0.09659738029447676
uc12,9,controldata,0.09435674455914247
uc12,10,isearch,0.0921401594698564
uc13,1,itouristagencymanager,0.23126296285959394
uc13,2,touristcard,0.1596823870717297
uc13,3,idbagencyoperator,0.10666898935164784
uc13,4,cardbc,0.10421810377901082
uc13,5,beantag,0.10339372819008315
uc13,6,irefreshmentpointagencymanager,0.10311237640727293
uc13,7,touristagencymanager,0.09938199993164483
uc13,8,tourist,0.09551629412390175
uc13,9,culturalheritage,0.09343104732447613
uc13,10,refreshmentpointagencymanager,0.09279904698954923
uc14,1,touristcard,0.12517698351974446
uc14,2,iauthentication,0.11775220745730659
uc14,3,tagcommonmanager,0.11709933368901182
uc14,4,beantag,0.11359272814844469
uc14,5,category,0.10578308293294665
uc14,6,isearch,0.10178384123294512
uc14,7,beanoperatoragency,0.09981600024715478
uc14,8,search,0.09018654567576653
uc14,9,culturalheritagecommonmanager,0.08876068248246645
uc14,10,refreshmentpointagencymanager,0.08658322304149797
uc15,1,touristcard,0.19040447388548487
uc15,2,news,0.1460523615101349
uc15,3,iculturalheritagecommonmanager,0.13880652629904555
uc15,4,cardbc,0.13857365681683279
uc15,5,culturalheritage,0.12688793048410263
uc15,6,dbnews,0.11749093849478498
uc15,7,iauthentication,0.11071735721468895
uc15,8,iculturalheritageagencymanager,0.10905810568900935
uc15,9,idbrefreshmentpointoperator,0.10713270449586565
uc15,10,idbnews,0.10683785459608831
uc16,1,itouristagencymanager,0.22448527813481403
uc16,2,iauthentication,0.12862736222982946
uc16,3,touristcard,0.11692307196166657
uc16,4,culturalheritageagencymanager,0.11494868124680412
uc16,5,search,0.10553309038282734
uc16,6,beantag,0.10226014009018629
uc16,7,dblocationstatistic,0.09606187937433004
uc16,8,touristagencymanager,0.09471833075172642
uc16,9,isearch,0.09162936776900325
uc16,10,beanoperatoragency,0.08985784860433317
uc17,1,iadvertisementmanager,0.17472108325946165
uc17,2,itagagencyoperatormanager,0.14643839016103347
uc17,3,globalconstants,0.12942161882705477
uc17,4,advertisementmanager,0.1168220337776629
uc17,5,iculturalheritageagencymanager,0.11182553667640159
uc17,6,itouristagencymanager,0.11066587282763551
uc17,7,irefreshmentpointcommonmanager,0.10778793510608574
uc17,8,controldata,0.10737118150762379
uc17,9,culturalheritage,0.10569277951745489
uc17,10,refreshmentpointagencymanager,0.10421900036296125
uc18,1,refreshmentpointagencymanager,0.18729947199271482
uc18,2,beanconvention,0.18529391428976655
uc18,3,iculturalheritageagencymanager,0.15790652962372317
uc18,4,controldata,0.1526583593129981
uc18,5,cardbc,0.1361921076489579
uc18,6,search,0.1336723119439216
uc18,7,globalconstants,0.1309954313544613
uc18,8,advancedsearch,0.11050628839461248
uc18,9,advertisementmanager,0.10925804483793732
