requirement_id,requirement_id_norm,correct_code_file,correct_code_file_norm,found,rank_found,top_prediction,top_score,retrieved_in_top_k
SMOS1,smos1,User.java.java,user,False,,servletloadreport,0.9870285391807556,False
SMOS1,smos1,Role.java,role,False,,servletloadreport,0.9870285391807556,False
SMOS1,smos1,UserListItem.java,userlistitem,False,,servletloadreport,0.9870285391807556,False
SMOS1,smos1,ServletLogin.java,servletlogin,False,,servletloadreport,0.9870285391807556,False
SMOS1,smos1,ServletLogout.java,servletlogout,False,,servletloadreport,0.9870285391807556,False
SMOS1,smos1,ServletAlterPersonalDate.java,servletalterpersonaldate,False,,servletloadreport,0.9870285391807556,False
SMOS10,smos10,User.java,user,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,Role.java,role,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,UserListItem.java,userlistitem,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletShowUserTeachingForm.java,servletshowuserteachingform,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletShowTeacherTeachingFormByClass.java,servletshowteacherteachingformbyclass,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletShowUserRoleForm.java,servletshowuserroleform,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletAddTeachingAsTeacher.java,servletaddteachingasteacher,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletAssignParentStudent.java,servletassignparentstudent,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletAssignRole.java,servletassignrole,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletInsertUser.java,servletinsertuser,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletAssignStudentClassroom.java,servletassignstudentclassroom,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletDeleteUser.java,servletdeleteuser,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletReportTeachings.java,servletreportteachings,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletUpdateUser.java,servletupdateuser,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletShowUserList.java,servletshowuserlist,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
SMOS10,smos10,ServletShowUserDetails.java,servletshowuserdetails,False,,servletaddremoveteachingsasaddress,0.9889432191848756,False
